IBTS species,Code,Common name,ICES Statlant name,Functional group
Pollachius pollachius,POL,POLLACK,Pollack,Other gadoids (large)
Pollachius virens,POK,SAITHE,Saithe(=Pollock),Saithe (adult)
Pomatoschistus,,Other,,unclassified
Pomatoschistus microps,,Other,,unclassified
Pomatoschistus minutus,SDG,SAND GOBY,,Small demersal fish
Pomatoschistus pictus,,Other,,unclassified
Psetta maxima,,TURBOT,Turbot,Turbot and brill
Pycnogonum littorale,PGL,SEA SPIDER,,Small mobile epifauna
Raja,,Starry ray + others,,Starry ray + others
Raja batis,SKT,COMMON SKATE,Blue skate,Skate + Cuckoo ray
Raja brachyura,,Other rays,,Other rays
Raja clavata,THR,THORNBACK RAY (ROKER),,Thornback & Spotted ray
Raja microocellata,PTR,SMALL EYED RAY,Painted ray,Other rays
Raja montagui,SDR,SPOTTED RAY,Spotted ray,Thornback & Spotted ray
Raja radiata,SYR,STARRY RAY,,Starry ray + others
Raja undulata,UNR,UNDULATE RAY,,Starry ray + others
Rajidae,,Starry ray + others,,Starry ray + others
Rajiformes,,Starry ray + others,,Starry ray + others
Raniceps raninus,LFB,LESSER FORKBEARD,,Small demersal fish
Rossia macrosoma,ROM,Cephalopods,,Cephalopods
Salmo,,Large demersal fish,,Large demersal fish
Salmo salar,,Salmon,Atlantic Salmon,Large demersal fish
Salmo trutta,TRS,SEA TROUT (BROWN TROUT),,Large demersal fish
Sardina pilchardus,,Sardine,European pilchard(=Sardine),Miscellaneous filter feeding pelagic fish
Scomber scombrus,MAC,(EUROPEAN) MACKEREL,Atlantic mackerel,Mackerel 
Scomberesox saurus,,Atlantic saury,,unclassified
Scophthalmus maximus,TUR,TURBOT,Turbot,Turbot and brill
Scophthalmus rhombus,BLL,BRILL,Brill,Turbot and brill
Scorpaena loppei,,Other,,unclassified
Scorpaena scrofa,,Small demersal fish,,Small demersal fish
Scorpaenidae,,Small demersal fish,,Small demersal fish
Scyliorhinidae,,Small sharks,,Small sharks
Scyliorhinus canicula,LSD,LESSER SPOTTED DOGFISH,,Small sharks
Scyliorhinus stellaris,,Small sharks,,Small sharks
Sebastes,,Large demersal fish,,Large demersal fish
Sebastes marinus,REG,NORWAY HADDOCK,,Large demersal fish
Sebastes mentella,,Large demersal fish,,Large demersal fish
Sebastes viviparus,REV,REDFISH,,Large demersal fish
Sepia officinalis,CTC,COMMON CUTTLEFISH,Common cuttlefish,Cephalopods
Sepietta oweniana,STO,Cephalopods,,Cephalopods
Sepiidae,SEY,Cephalopods,,Cephalopods
Serranus cabrilla,,Other,,unclassified
Solea vulgaris,SOL,Dover sole,Sole,Sole
Soleidae,,Small demersal fish,,Small demersal fish
Somniosus microcephalus,,unclassified,,unclassified
Sparidae,,Black seabream,Black seabream,unclassified
Spinachia spinachia,,Other,,unclassified
Spondyliosoma cantharus,BKS,BLACK SEABREAM,Blackbelly rosefish,Large demersal fish
Sprattus sprattus,SPR,Sprat,European sprat,Sprat
Squalidae,DGS,Spurdog,Spurdog,Spurdog
Squalus acanthias,DGS,Spurdog,Spurdog,Spurdog
Stichaeidae,,Other,,unclassified
Symphodus melops,,Other,,unclassified
Syngnathidae,,Other,,unclassified
Syngnathoidei,,Other,,unclassified
Syngnathus,,Other,,unclassified
Syngnathus acus,GPF,GREAT PIPEFISH,,Small demersal fish
Syngnathus rostellatus,NPF,NILSSON'S PIPEFISH,,Small demersal fish
Syngnathus typhle,,Other,,unclassified
Taurulus bubalis,SSN,Sea scorpion,,Small demersal fish
Taurulus lilljeborgi,,Other,,unclassified
Thunnus thynnus,,Large demersal fish,,Large demersal fish
Todaropsis eblanae,,Cephalopods,,unclassified
Trachinus draco,WEG,Greater weever,,Small demersal fish
Trachinus vipera,WEL,Lesser weever,,Small demersal fish
Trachurus trachurus,HOM,HORSE-MACKEREL (SCAD),Atlantic horse mackerel,Horse mackerel
Trachyrincus murrayi,,Other,,unclassified
Trigla lucerna,TUB,TUB GURNARD,Tub gurnard,Gurnards
Triglidae,,Gurnards,Gurnard and Latchet,Gurnards
Trigloporus lastoviza,,Other,,unclassified
Triglops murrayi,SPN,SCULPIN,,Small demersal fish
Triglops pingeli,,Other,,unclassified
Trisopterus esmarkii,NOP,Norway Pout,Norway Pout,Norway pout
Trisopterus luscus,BIB,WHITING-POUT (BIB),,Other gadoids (small)
Trisopterus minutus,POD,POOR COD,,Other gadoids (small)
Zeiformes,,Other,,unclassified
Zenopsis ocellata,,Other,,unclassified
Zeugopterus,,Small demersal fish,,Small demersal fish
Zeugopterus norvegicus,,Small demersal fish,,Small demersal fish
Zeugopterus punctatus,,Topknot,,Small demersal fish
Zeugopterus regius,,Small demersal fish,,Small demersal fish
Zeus faber,JOD,JOHN DORY,John dory,Large demersal fish
Zoarces viviparus,ELP,EELPOUT/VIVIPARUS BLENNY,,Small demersal fish
Zoarcidae,EPX,EEL-POUTS,,Small demersal fish
